Code,Definition
O41.8X13,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 3"
O41.8X14,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 4"
O41.8X15,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 5"
O41.8X19,"Other specified disorders of amniotic fluid and membranes, first trimester, other fetus"
O41.8X20,"Other specified disorders of amniotic fluid and membranes, second trimester, not applicable or unspecified"
O41.8X21,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 1"
O41.8X22,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 2"
O41.8X23,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 3"
O41.8X24,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 4"
O41.8X25,"Other specified disorders of amniotic fluid and membranes, second trimester, fetus 5"
O41.8X29,"Other specified disorders of amniotic fluid and membranes, second trimester, other fetus"
O41.8X30,"Other specified disorders of amniotic fluid and membranes, third trimester, not applicable or unspecified"
O41.8X31,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 1"
O41.8X32,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 2"
O41.8X33,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 3"
O41.8X34,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 4"
O41.8X35,"Other specified disorders of amniotic fluid and membranes, third trimester, fetus 5"
O41.8X39,"Other specified disorders of amniotic fluid and membranes, third trimester, other fetus"
O41.8X90,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, not applicable or unspecified"
O41.8X91,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 1"
O41.8X92,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 2"
O41.8X93,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 3"
O41.8X94,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 4"
O41.8X95,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 5"
O41.8X99,"Other specified disorders of amniotic fluid and membranes, unspecified trimester, other fetus"
O41.90X0,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, not applicable or unspecified"
O41.90X1,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 1"
O41.90X2,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 2"
O41.90X3,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 3"
O41.90X4,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 4"
O41.90X5,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 5"
O41.90X9,"Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, other fetus"
O41.91X0,"Disorder of amniotic fluid and membranes, unspecified, first trimester, not applicable or unspecified"
O41.91X1,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 1"
O41.91X2,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 2"
O41.91X3,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 3"
O41.91X4,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 4"
O41.91X5,"Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 5"
O41.91X9,"Disorder of amniotic fluid and membranes, unspecified, first trimester, other fetus"
O41.92X0,"Disorder of amniotic fluid and membranes, unspecified, second trimester, not applicable or unspecified"
O41.92X1,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 1"
O41.92X2,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 2"
O41.92X3,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 3"
O41.92X4,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 4"
O41.92X5,"Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 5"
O41.92X9,"Disorder of amniotic fluid and membranes, unspecified, second trimester, other fetus"
O41.93X0,"Disorder of amniotic fluid and membranes, unspecified, third trimester, not applicable or unspecified"
O41.93X1,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 1"
O41.93X2,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 2"
O41.93X3,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 3"
O41.93X4,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 4"
O41.93X5,"Disorder of amniotic fluid and membranes, unspecified, third trimester, fetus 5"
O41.93X9,"Disorder of amniotic fluid and membranes, unspecified, third trimester, other fetus"
O42.00,"Premature rupture of membranes, onset of labor within 24 hours of rupture, unspecified weeks of gestation"
O42.011,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, first trimester"
O42.012,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, second trimester"
O42.013,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, third trimester"
O42.019,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture, unspecified trimester"
O42.02,"Full-term premature rupture of membranes, onset of labor within 24 hours of rupture"
O42.10,"Premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified weeks of gestation"
O42.111,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, first trimester"
O42.112,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, second trimester"
O42.113,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, third trimester"
O42.119,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, unspecified trimester"
O42.12,"Full-term premature rupture of membranes, onset of labor more than 24 hours following rupture"
O42.90,"Premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified weeks of gestation"
O42.911,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, first trimester"
O42.912,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, second trimester"
O42.913,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, third trimester"
O42.919,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, unspecified trimester"
O42.92,"Full-term premature rupture of membranes, unspecified as to length of time between rupture and onset of labor"
O43.011,"Fetomaternal placental transfusion syndrome, first trimester"
O43.012,"Fetomaternal placental transfusion syndrome, second trimester"
O43.013,"Fetomaternal placental transfusion syndrome, third trimester"
O43.019,"Fetomaternal placental transfusion syndrome, unspecified trimester"
O43.021,"Fetus-to-fetus placental transfusion syndrome, first trimester"
O43.022,"Fetus-to-fetus placental transfusion syndrome, second trimester"
O43.023,"Fetus-to-fetus placental transfusion syndrome, third trimester"
O43.029,"Fetus-to-fetus placental transfusion syndrome, unspecified trimester"
O43.101,"Malformation of placenta, unspecified, first trimester"
O43.102,"Malformation of placenta, unspecified, second trimester"
O43.103,"Malformation of placenta, unspecified, third trimester"
O43.109,"Malformation of placenta, unspecified, unspecified trimester"
O43.111,"Circumvallate placenta, first trimester"
O43.112,"Circumvallate placenta, second trimester"
O43.113,"Circumvallate placenta, third trimester"
O43.119,"Circumvallate placenta, unspecified trimester"
O43.121,"Velamentous insertion of umbilical cord, first trimester"
O43.122,"Velamentous insertion of umbilical cord, second trimester"
O43.123,"Velamentous insertion of umbilical cord, third trimester"
O43.129,"Velamentous insertion of umbilical cord, unspecified trimester"
O43.191,"Other malformation of placenta, first trimester"
O43.192,"Other malformation of placenta, second trimester"
O43.193,"Other malformation of placenta, third trimester"
O43.199,"Other malformation of placenta, unspecified trimester"
O43.211,"Placenta accreta, first trimester"
O43.212,"Placenta accreta, second trimester"
O43.213,"Placenta accreta, third trimester"
O43.219,"Placenta accreta, unspecified trimester"
O43.221,"Placenta increta, first trimester"
O43.222,"Placenta increta, second trimester"
O43.223,"Placenta increta, third trimester"
O43.229,"Placenta increta, unspecified trimester"
O43.231,"Placenta percreta, first trimester"
O43.232,"Placenta percreta, second trimester"
O43.233,"Placenta percreta, third trimester"
O43.239,"Placenta percreta, unspecified trimester"
O43.811,"Placental infarction, first trimester"
O43.812,"Placental infarction, second trimester"
O43.813,"Placental infarction, third trimester"
O43.819,"Placental infarction, unspecified trimester"
O43.891,"Other placental disorders, first trimester"
O43.892,"Other placental disorders, second trimester"
O43.893,"Other placental disorders, third trimester"
O43.899,"Other placental disorders, unspecified trimester"
O43.90,"Unspecified placental disorder, unspecified trimester"
O43.91,"Unspecified placental disorder, first trimester"
O43.92,"Unspecified placental disorder, second trimester"
O43.93,"Unspecified placental disorder, third trimester"
O44.00,"Complete placenta previa NOS or without hemorrhage, unspecified trimester"
O44.01,"Complete placenta previa NOS or without hemorrhage, first trimester"
O44.02,"Complete placenta previa NOS or without hemorrhage, second trimester"
O44.03,"Complete placenta previa NOS or without hemorrhage, third trimester"
O44.10,"Complete placenta previa with hemorrhage, unspecified trimester"
O44.11,"Complete placenta previa with hemorrhage, first trimester"
O44.12,"Complete placenta previa with hemorrhage, second trimester"
O44.13,"Complete placenta previa with hemorrhage, third trimester"
O44.20,"Partial placenta previa NOS or without hemorrhage, unspecified trimester"
O44.21,"Partial placenta previa NOS or without hemorrhage, first trimester"
O44.22,"Partial placenta previa NOS or without hemorrhage, second trimester"
O44.23,"Partial placenta previa NOS or without hemorrhage, third trimester"
O44.30,"Partial placenta previa with hemorrhage, unspecified trimester"
O44.31,"Partial placenta previa with hemorrhage, first trimester"
O44.32,"Partial placenta previa with hemorrhage, second trimester"
O44.33,"Partial placenta previa with hemorrhage, third trimester"
O44.40,"Low lying placenta NOS or without hemorrhage, unspecified trimester"
O44.41,"Low lying placenta NOS or without hemorrhage, first trimester"
O44.42,"Low lying placenta NOS or without hemorrhage, second trimester"
O44.43,"Low lying placenta NOS or without hemorrhage, third trimester"
O44.50,"Low lying placenta with hemorrhage, unspecified trimester"
O44.51,"Low lying placenta with hemorrhage, first trimester"
O44.52,"Low lying placenta with hemorrhage, second trimester"
O44.53,"Low lying placenta with hemorrhage, third trimester"
O45.001,"Premature separation of placenta with coagulation defect, unspecified, first trimester"
O45.002,"Premature separation of placenta with coagulation defect, unspecified, second trimester"
O45.003,"Premature separation of placenta with coagulation defect, unspecified, third trimester"
O45.009,"Premature separation of placenta with coagulation defect, unspecified, unspecified trimester"
O45.011,"Premature separation of placenta with afibrinogenemia, first trimester"
O45.012,"Premature separation of placenta with afibrinogenemia, second trimester"
O45.013,"Premature separation of placenta with afibrinogenemia, third trimester"
O45.019,"Premature separation of placenta with afibrinogenemia, unspecified trimester"
O45.021,"Premature separation of placenta with disseminated intravascular coagulation, first trimester"
O45.022,"Premature separation of placenta with disseminated intravascular coagulation, second trimester"
O45.023,"Premature separation of placenta with disseminated intravascular coagulation, third trimester"
